df_stat,crit_value_1pct,crit_value_5pct,crit_value_10pct,half_life,time_resolution,start_date,end_date,length
-2.9304221792837435,-3.43,-2.86,-2.57,198.90711753760306,900,2017-08-16,2017-09-28,-43
-2.9947428389929867,-3.43,-2.86,-2.57,22.12472763510118,1800,2017-09-08,2017-09-19,-11
-1.7712425543244448,-3.43,-2.86,-2.57,59.123180217436754,14400,2017-05-28,2017-08-22,-86
-2.8963016221674875,-3.43,-2.86,-2.57,20.119559768970113,1800,2017-05-05,2017-05-19,-14
-2.863888089480614,-3.43,-2.86,-2.57,1977.601038726387,300,2017-04-06,2017-09-20,-167
-1.8932085818907605,-3.43,-2.86,-2.57,121.18841855360805,14400,2017-02-14,2017-08-15,-182
-2.6609114938148974,-3.43,-2.86,-2.57,884.5520888172962,900,2017-03-24,2017-10-02,-192
-2.319495708313759,-3.44,-2.87,-2.57,57.10686225377043,14400,2017-01-08,2017-03-24,-75
-2.0472094031480017,-3.75,-3,-2.63,1.2547077611968231,86400,2017-09-02,2017-09-11,-9
-2.7822417657005403,-3.43,-2.86,-2.57,255.70108310629774,1800,2017-07-03,2017-09-26,-85
-2.614016221258256,-3.44,-2.87,-2.57,25.114646281798258,1800,2017-04-01,2017-04-11,-10
-2.322148308349429,-3.58,-2.93,-2.6,4.041365730428304,7200,2017-01-18,2017-01-22,-4
-2.321355318789161,-3.75,-3,-2.63,2.3047910623507657,14400,2017-09-28,2017-10-02,-4
-2.133102871977871,-3.43,-2.86,-2.57,203.214029891191,7200,2017-01-13,2017-09-23,-253
-2.6584865768594526,-3.43,-2.86,-2.57,411.88915785746394,1800,2017-03-25,2017-08-21,-149
-2.5599431314004453,-3.43,-2.86,-2.57,130.0015893979405,900,2017-01-08,2017-05-21,-133
-2.1618936093000367,-3.75,-3,-2.63,4.189119749163705,86400,2017-05-05,2017-05-29,-24
-2.97486168118808,-3.43,-2.86,-2.57,119.5921945267502,1800,2017-05-12,2017-06-29,-48
-3.0061254879350896,-3.43,-2.86,-2.57,470.94497041418657,1800,2017-01-21,2017-03-26,-64
-2.2397802612660747,-3.44,-2.87,-2.57,22.290680854455708,7200,2017-04-15,2017-05-06,-21
-2.6688381047879632,-3.43,-2.86,-2.57,1005.3861325489391,300,2017-01-11,2017-05-19,-128
-2.9906330786827553,-3.43,-2.86,-2.57,60.06016799655225,1800,2017-08-29,2017-09-23,-25
-2.427373327286217,-3.43,-2.86,-2.57,104.776026649683,900,2017-09-16,2017-09-28,-12
-2.8367832789174314,-3.43,-2.86,-2.57,1829.9173035926476,300,2017-05-03,2017-09-09,-129
-3.301717911710816,-3.43,-2.86,-2.57,270.72726823395993,300,2017-03-17,2017-04-10,-24
-2.251359356741954,-3.75,-3,-2.63,2.2576360976721426,86400,2017-07-08,2017-08-01,-24
-2.747340291361991,-3.43,-2.86,-2.57,330.1177066677876,900,2017-07-31,2017-10-01,-62
NaN,-3.75,-3,-2.63,0.36597840079268873,86400,2017-09-18,2017-09-22,-4
-2.7068614324293385,-3.44,-2.87,-2.57,33.019191749152476,7200,2017-04-18,2017-05-27,-39
-2.1134623635543335,-3.43,-2.86,-2.57,-1182.1171665543675,1800,2017-07-28,2017-08-23,-26
-1.8403052229560952,-3.44,-2.87,-2.57,20.638176243565265,7200,2017-07-31,2017-08-26,-26
-3.435098584310368,-3.43,-2.86,-2.57,333.60989907635894,300,2017-08-21,2017-09-25,-35
-2.478321775138287,-3.43,-2.86,-2.57,215.5008173628605,900,2017-06-26,2017-08-01,-36
-2.5137476042539424,-3.43,-2.86,-2.57,588.3175618719437,900,2017-05-10,2017-08-20,-102
-1.9339275581681143,-3.46,-2.88,-2.57,31.681121143109415,86400,2017-04-27,2017-09-18,-144
-2.27937508185559,-3.58,-2.93,-2.6,4.08878311014364,86400,2017-08-17,2017-09-27,-41
-2.1353497085765847,-3.43,-2.86,-2.57,67.61744763356717,14400,2017-05-26,2017-10-01,-128
-2.982104239081138,-3.43,-2.86,-2.57,141.28354488070846,900,2017-08-28,2017-09-28,-31
-3.694807735567909,-3.43,-2.86,-2.57,260.1848515006652,300,2017-05-05,2017-06-02,-28
-2.56119772019568,-3.43,-2.86,-2.57,480.44419090966556,1800,2017-01-03,2017-08-23,-232
