time_resolution,quote_currency,cointegration_test,adf_threshold,distance_threshold,train_window,test_window,model_type,regression_type,spread_type,rolling_window,signal_logic,signal_scaled_enter,signal_discrete_enter,signal_discrete_exit,signal_stop,signal_reenter,signal_reenter_threshold,pair_allocation,pair_allocation_scaling,overall_return
300,USDT,distance,-3.6,0.26,14d 0H 0M 0S,57d 0H 0M 0S,log,ols,rolling,4032,scaled,4,2.95,0.9500000000000001,3.7,FALSE,2,scaled,1,1.1620508269801253
300,BTC,eg,-2.25,0.25,15d 0H 0M 0S,34d 0H 0M 0S,raw,ols,rolling,4320,scaled,2,1.9,0.45,4.6,TRUE,1,equal,1.9500000000000002,4.981946667760309
300,USDT,distance,-3.8,0.25,26d 0H 0M 0S,58d 0H 0M 0S,raw,ols,rolling,2880,scaled,2,2.9000000000000004,0.15000000000000002,4.15,FALSE,1.05,equal,1.3,2.1872385376983523
300,BTC,distance,-3.05,0.05,51d 0H 0M 0S,6d 0H 0M 0S,raw,ols,rolling,14688,scaled,3,1.65,0.4,4.6,FALSE,1.05,weighted,1.8,0.996731223029397
300,BTC,distance,-3.1500000000000004,0.37,23d 0H 0M 0S,17d 0H 0M 0S,raw,ols,rolling,576,scaled,4,2.1,0.2,4.6,FALSE,1.3,weighted,1,4.25935982858891
300,BTC,eg,-3.6,0.38,34d 0H 0M 0S,23d 0H 0M 0S,log,ols,rolling,864,scaled,3,1.6,1,4.65,TRUE,0.8,scaled,1.25,26.403133613097545
300,BTC,eg,-3.2,0.11,52d 0H 0M 0S,45d 0H 0M 0S,raw,ols,rolling,9792,scaled,4,2,0.9,5.550000000000001,FALSE,1.3,weighted,1.3,2.6620551110648183
300,USDT,eg,-3.1,0.33999999999999997,14d 0H 0M 0S,7d 0H 0M 0S,raw,ols,rolling,4032,scaled,3,1.85,0.2,5.050000000000001,TRUE,0.45,equal,1.2,18.43623826287649
300,BTC,eg,-2,0.37,12d 0H 0M 0S,30d 0H 0M 0S,raw,ols,rolling,576,scaled,4,2.7,0.1,6.95,FALSE,1.1500000000000001,equal,1.4,57.96340297093027
300,BTC,distance,-3.1500000000000004,0.11,48d 0H 0M 0S,12d 0H 0M 0S,raw,ols,rolling,5472,scaled,4,2.45,0.35000000000000003,4.75,FALSE,1.9500000000000002,scaled,1.05,1.026137819609229
300,BTC,eg,-3.9000000000000004,0.24,22d 0H 0M 0S,11d 0H 0M 0S,raw,ols,rolling,6336,scaled,2,1.55,0.7000000000000001,4.15,FALSE,1.75,equal,1.65,5.099993387345272
300,BTC,eg,-2.35,0.14,41d 0H 0M 0S,26d 0H 0M 0S,log,ols,rolling,4320,scaled,3,1.3,0.75,6.9,TRUE,1.9500000000000002,scaled,1.15,4.188712387196862
300,BTC,eg,-2.65,0.33999999999999997,31d 0H 0M 0S,44d 0H 0M 0S,raw,ols,rolling,8928,scaled,4,2.55,0.45,4.85,TRUE,1.9500000000000002,equal,1.2,3.534290262703815
300,BTC,distance,-2.05,0.19,60d 0H 0M 0S,15d 0H 0M 0S,raw,ols,rolling,4608,scaled,4,1.2,0.75,3.15,TRUE,0.6000000000000001,equal,1.65,2.149128041527201
300,BTC,eg,-2.9,0.1,54d 0H 0M 0S,57d 0H 0M 0S,log,ols,rolling,14112,scaled,2,3,0.6000000000000001,5.6,FALSE,1.3,equal,2,2.237981173581899
300,BTC,eg,-2.7,0.29,17d 0H 0M 0S,34d 0H 0M 0S,log,ols,rolling,4896,scaled,3,2.2,0.55,4.7,TRUE,1.9000000000000001,equal,1.45,3.038668707977057
300,BTC,eg,-3.35,0.11,50d 0H 0M 0S,18d 0H 0M 0S,log,ols,rolling,12384,scaled,2,1.45,0.45,5.65,FALSE,1,equal,2,3.4729010210165048
300,USDT,distance,-2.35,0.26,15d 0H 0M 0S,33d 0H 0M 0S,raw,ols,rolling,4320,scaled,3,2.6500000000000004,0.30000000000000004,5.75,FALSE,1.1,scaled,1.45,2.1484836930884974
300,USDT,eg,-2.15,0.39,14d 0H 0M 0S,42d 0H 0M 0S,raw,ols,rolling,4032,scaled,4,1.05,0.45,6.75,FALSE,0.5,equal,1.8,4.453974464246896
300,BTC,distance,-2.6,0.35,55d 0H 0M 0S,15d 0H 0M 0S,raw,ols,rolling,13536,scaled,4,2.8,0.25,3.25,TRUE,0.45,scaled,1.4,2.7714819871076
300,BTC,eg,-3.6500000000000004,0.27,15d 0H 0M 0S,50d 0H 0M 0S,raw,ols,rolling,4320,scaled,4,1.05,0.55,4.8,TRUE,1.85,scaled,1.25,7.584050881861447
300,USDT,eg,-2.7,0.31,51d 0H 0M 0S,41d 0H 0M 0S,raw,ols,rolling,4032,scaled,2,2.6500000000000004,0.25,6.800000000000001,TRUE,0.65,scaled,1.6,13.228289975898928
300,BTC,eg,-2.15,0.21000000000000002,11d 0H 0M 0S,37d 0H 0M 0S,log,ols,rolling,3168,scaled,4,2.5,0.6000000000000001,4.45,FALSE,0.65,scaled,1.2,1.8203978710341973
300,USDT,distance,-2.65,0.07,17d 0H 0M 0S,32d 0H 0M 0S,raw,ols,rolling,4032,scaled,2,1.85,0.25,5.35,FALSE,1.7000000000000002,weighted,1.15,2.1568935623577445
300,USDT,distance,-3,0.26,57d 0H 0M 0S,47d 0H 0M 0S,raw,ols,rolling,16416,scaled,4,2,0,6.7,FALSE,0.2,weighted,1.6,1.8196431246239733
300,USDT,distance,-2.6,0.35,10d 0H 0M 0S,55d 0H 0M 0S,raw,ols,rolling,2880,scaled,4,1.65,0.7000000000000001,3.25,FALSE,1.25,scaled,1.55,1.3749451139433375
300,USDT,distance,-3.75,0.14,41d 0H 0M 0S,15d 0H 0M 0S,raw,ols,rolling,3456,scaled,3,2.05,0.15000000000000002,4.35,TRUE,1.5,equal,1.1,3.311409994533688
300,USDT,eg,-2.95,0.29,7d 0H 0M 0S,6d 0H 0M 0S,log,ols,rolling,2016,scaled,3,1.85,0.8500000000000001,6.25,TRUE,0.8,equal,1.7000000000000002,11.795220051561659
300,BTC,distance,-2.4,0.25,38d 0H 0M 0S,32d 0H 0M 0S,log,ols,rolling,9504,scaled,3,1.85,0.7000000000000001,3,FALSE,1.5,equal,1.2,1.5768236122720782
300,USDT,eg,-3.7,0.29,22d 0H 0M 0S,50d 0H 0M 0S,log,ols,rolling,2592,scaled,4,1.1,0.8500000000000001,3.8,TRUE,1.5,equal,1.6,4.137850675056809
300,BTC,eg,-3.45,0.26,21d 0H 0M 0S,35d 0H 0M 0S,log,ols,rolling,6048,scaled,3,1.35,1,3.8,TRUE,0.55,weighted,1,3.5850122611037345
300,BTC,eg,-2.4,0.36,48d 0H 0M 0S,5d 0H 0M 0S,log,ols,rolling,12672,scaled,3,1.45,0,4.5,TRUE,0.2,scaled,1.6,2.3539865844105137
300,BTC,distance,-3.2,0.060000000000000005,5d 0H 0M 0S,54d 0H 0M 0S,raw,ols,rolling,1440,scaled,4,2.1500000000000004,0.25,5.550000000000001,TRUE,0.9,equal,1.05,35.4596346804384
300,USDT,distance,-3,0.24,56d 0H 0M 0S,36d 0H 0M 0S,log,ols,rolling,2880,scaled,3,2.95,0.5,6.45,TRUE,1.3,weighted,1.35,2.1555534531715774
300,USDT,distance,-3.1,0.14,9d 0H 0M 0S,59d 0H 0M 0S,log,ols,rolling,2592,scaled,4,2.3,0.7000000000000001,3.8,TRUE,0,weighted,1.3,1.2000295547018294
300,USDT,distance,-3,0.07,33d 0H 0M 0S,32d 0H 0M 0S,raw,ols,rolling,864,scaled,3,2.6,0.05,5.550000000000001,FALSE,0.05,weighted,1.35,2.1732899693250745
300,BTC,distance,-3.35,0.15000000000000002,9d 0H 0M 0S,31d 0H 0M 0S,log,ols,rolling,2592,scaled,4,1.8,0.8500000000000001,5.2,TRUE,1,scaled,1.55,3.83136343216812
300,USDT,eg,-2.85,0.37,59d 0H 0M 0S,58d 0H 0M 0S,log,ols,rolling,1152,scaled,3,1.05,0.75,6.050000000000001,TRUE,1.3,equal,1.35,26.39665748499233
300,USDT,eg,-3.7,0.29,16d 0H 0M 0S,31d 0H 0M 0S,raw,ols,rolling,3168,scaled,3,2.6500000000000004,0.35000000000000003,6.1,TRUE,0.30000000000000004,weighted,1.7000000000000002,27.80554913822379
300,BTC,eg,-2.35,0.33,12d 0H 0M 0S,5d 0H 0M 0S,log,ols,rolling,3456,scaled,3,1.6,0.9500000000000001,4.85,TRUE,0.9500000000000001,weighted,1.55,5.099630633482659
300,BTC,eg,-2.35,0.29,13d 0H 0M 0S,36d 0H 0M 0S,raw,ols,rolling,3744,scaled,3,2.5,0.9500000000000001,4.45,FALSE,0.25,scaled,1.85,2.6611110443827086
300,BTC,distance,-3.85,0.1,28d 0H 0M 0S,59d 0H 0M 0S,raw,ols,rolling,7488,scaled,3,2.4000000000000004,0.30000000000000004,3.4,FALSE,0.1,scaled,1.25,0.8808063659855637
300,USDT,distance,-3.45,0.39,32d 0H 0M 0S,42d 0H 0M 0S,raw,ols,rolling,5760,scaled,4,2.8,0.30000000000000004,6.300000000000001,FALSE,0.25,equal,1.45,2.6776394963187835
300,BTC,eg,-2,0.32,43d 0H 0M 0S,14d 0H 0M 0S,log,ols,rolling,12384,scaled,4,2,0.65,4.35,FALSE,1.7000000000000002,scaled,1.65,1.7860979404208073
300,USDT,distance,-3.1500000000000004,0.05,10d 0H 0M 0S,56d 0H 0M 0S,log,ols,rolling,2880,scaled,3,1.6,0.55,3,FALSE,1.25,weighted,1,1.0353095366835001
300,BTC,distance,-2.15,0.31,59d 0H 0M 0S,12d 0H 0M 0S,log,ols,rolling,4896,scaled,2,1.45,0.8,6.65,TRUE,1.4000000000000001,scaled,1.55,3.471562035377157
300,BTC,eg,-3,0.38,16d 0H 0M 0S,24d 0H 0M 0S,raw,ols,rolling,4608,scaled,2,3,0.7000000000000001,4.8,TRUE,0.8,weighted,1.7000000000000002,12.63080834767493
300,BTC,eg,-3.7,0.39,40d 0H 0M 0S,57d 0H 0M 0S,log,ols,rolling,6048,scaled,2,1.8,0.1,5.5,TRUE,1.9000000000000001,equal,1.55,3.8348279626454342
300,BTC,eg,-3.55,0.26,27d 0H 0M 0S,3d 0H 0M 0S,raw,ols,rolling,6912,scaled,2,2.1500000000000004,0.05,3.8,TRUE,1.1,equal,1.8,6.033890596577444
300,USDT,eg,-2.15,0.39,48d 0H 0M 0S,42d 0H 0M 0S,log,ols,rolling,13536,scaled,4,2.7,0.45,3.85,TRUE,0.5,weighted,1.9,2.016862980719545
300,BTC,eg,-3.5,0.21000000000000002,31d 0H 0M 0S,23d 0H 0M 0S,raw,ols,rolling,8928,scaled,4,2.75,0.4,6.2,FALSE,1.7000000000000002,weighted,1.1,3.9045660277427596
300,USDT,eg,-2.95,0.22000000000000003,19d 0H 0M 0S,36d 0H 0M 0S,log,ols,rolling,5472,scaled,4,1.45,0.2,4.4,TRUE,0.45,equal,1.9500000000000002,3.8345293722732587
300,USDT,eg,-3.1,0.25,59d 0H 0M 0S,28d 0H 0M 0S,raw,ols,rolling,6624,scaled,2,2.25,0.05,5.15,TRUE,0.35000000000000003,equal,1.2,6.589547346196762
300,USDT,eg,-3,0.14,53d 0H 0M 0S,11d 0H 0M 0S,log,ols,rolling,1152,scaled,4,1.65,0.45,4,FALSE,0.9500000000000001,equal,1.8,2.7418754151127858
300,USDT,distance,-2.25,0.35,40d 0H 0M 0S,42d 0H 0M 0S,log,ols,rolling,11520,scaled,3,2.9000000000000004,0.4,3.95,TRUE,0.9500000000000001,scaled,1.5,2.612634828793575
300,BTC,eg,-2.2,0.33,6d 0H 0M 0S,41d 0H 0M 0S,log,ols,rolling,1728,scaled,3,1.15,0,4.05,TRUE,0.65,equal,1.3,7.580116257970664
300,BTC,eg,-2.5,0.1,24d 0H 0M 0S,48d 0H 0M 0S,raw,ols,rolling,6912,scaled,3,2.1,0.8,6.9,FALSE,1,weighted,1.35,5.044097656487396
300,USDT,distance,-3.55,0.21000000000000002,13d 0H 0M 0S,23d 0H 0M 0S,log,ols,rolling,3744,scaled,4,1.65,0.35000000000000003,6.550000000000001,TRUE,1.2000000000000002,weighted,1.1,3.25233848915056
300,USDT,eg,-3.25,0.32,23d 0H 0M 0S,15d 0H 0M 0S,log,ols,rolling,6624,scaled,4,1.9,0,4.7,FALSE,0.5,scaled,1.65,2.822549616641571
300,USDT,eg,-2.35,0.15000000000000002,9d 0H 0M 0S,43d 0H 0M 0S,log,ols,rolling,2592,scaled,4,2.35,0.6000000000000001,6.300000000000001,FALSE,0,scaled,1.15,2.219733249302842
300,BTC,eg,-3.3,0.05,9d 0H 0M 0S,52d 0H 0M 0S,raw,ols,rolling,2592,scaled,2,2.75,0.9500000000000001,4.45,FALSE,0.8500000000000001,scaled,1.8,1.8731120090936393
