time_resolution,quote_currency,cointegration_test,adf_threshold,distance_threshold,train_window,test_window,model_type,spread_type,rolling_window,signal_logic,signal_scaled_enter,signal_discrete_enter,signal_discrete_exit,signal_stop,signal_reenter,signal_reenter_threshold,pair_allocation,pair_allocation_scaling,overall_return
900,BTC,distance,-2.95,28,3d 0H 0M 0S,37d 0H 0M 0S,log,fixed,288,discrete,3,2.1500000000000004,0.4,6.5,TRUE,0.8500000000000001,equal,1.8,0.7089323087360606
1800,USDT,distance,-2.8,8,55d 0H 0M 0S,48d 0H 0M 0S,raw,rolling,912,discrete,4,2.55,0.75,6.1,TRUE,1.5,equal,1.25,0.7088501108604026
86400,BTC,distance,-1.3,20,21d 0H 0M 0S,25d 0H 0M 0S,log,fixed,21,scaled,3,1.45,0.8500000000000001,4.6,TRUE,0.30000000000000004,equal,1.15,0.7086337435311636
1800,USDT,distance,-2.05,20,39d 0H 0M 0S,20d 0H 0M 0S,raw,rolling,624,discrete,3,1.9,0.1,6.050000000000001,FALSE,1.3,weighted,1.8,0.7085941198245563
1800,BTC,distance,-2.55,16,25d 0H 0M 0S,54d 0H 0M 0S,raw,rolling,1200,discrete,3,1.05,0,5.800000000000001,TRUE,1.8,equal,2,0.7085359504714963
14400,USDT,distance,-1.1,26,23d 0H 0M 0S,14d 0H 0M 0S,log,fixed,138,scaled,4,1.85,0.5,5.300000000000001,TRUE,0.1,scaled,1.2,0.708492465835337
86400,BTC,distance,-3.85,26,51d 0H 0M 0S,29d 0H 0M 0S,raw,rolling,51,discrete,3,1.15,0.05,6.75,FALSE,0.9,weighted,1.5,0.7083921605910488
1800,USDT,eg,-2.1,8,23d 0H 0M 0S,41d 0H 0M 0S,raw,rolling,432,discrete,4,1.5,0.45,6.7,FALSE,1.1500000000000001,scaled,1.75,0.7076388455253406
7200,USDT,distance,-3.7,18,14d 0H 0M 0S,47d 0H 0M 0S,log,fixed,168,discrete,4,1.85,0.4,5.65,FALSE,0.1,weighted,1,0.7073739168891399
7200,USDT,distance,-2.45,22,38d 0H 0M 0S,38d 0H 0M 0S,log,fixed,168,discrete,2,2.55,0.45,6.800000000000001,TRUE,1.35,scaled,1.05,0.7069911037310797
1800,BTC,eg,-3.7,16,23d 0H 0M 0S,23d 0H 0M 0S,raw,fixed,1104,scaled,3,2.25,0.05,3.45,FALSE,0.6000000000000001,equal,1.1,0.7065710719265129
