df_stat_mean,crit_value_1pct_mean,crit_value_5pct_mean,crit_value_10pct_mean,half_life_mean,df_stat_median,crit_value_1pct_median,crit_value_5pct_median,crit_value_10pct_median,half_life_median,time_resolution,start_date,end_date,length
-3.2877608763847537,-3.43,-2.86,-2.57,245.79772180193606,-3.27523631402739,-3.43,-2.86,-2.57,197.56052328679738,300,2017-01-04,2017-01-30,-26
-2.3585220811982137,-3.44,-2.87,-2.57,18.41202048617467,-2.3539710900408606,-3.44,-2.87,-2.57,11.370322701602937,7200,2017-06-13,2017-07-05,-22
-2.802138175164051,-3.43,-2.86,-2.57,-6.900771250734457,-3.092440575384374,-3.43,-2.86,-2.57,23.24458378584825,1800,2017-08-12,2017-08-26,-14
-2.0747973190960876,-3.44,-2.87,-2.57,31.839474043440852,-2.016014802259548,-3.44,-2.87,-2.57,22.30692466843519,14400,2017-05-27,2017-07-13,-47
-1.9195354965439997,-3.51,-2.89,-2.58,4.66879568704155,-2.1524281362260465,-3.51,-2.89,-2.58,4.76762695448946,7200,2017-07-28,2017-08-03,-6
-2.045566744037066,-3.46,-2.88,-2.57,10.841144021911362,-1.9749269536759502,-3.46,-2.88,-2.57,9.034973037352755,14400,2017-06-23,2017-07-14,-21
-2.2566017853582894,-3.44,-2.87,-2.57,29.760140199965722,-2.386213085518511,-3.44,-2.87,-2.57,19.210030776264375,7200,2017-09-10,2017-10-29,-49
-1.7140005961371976,-3.75,-3,-2.63,2.700704335022061,-1.7750594391313,-3.75,-3,-2.63,1.852086457515054,86400,2017-04-15,2017-04-30,-15
-2.7281749798136716,-3.43,-2.86,-2.57,90.76285356890594,-2.628335827945654,-3.43,-2.86,-2.57,34.91000949899536,900,2017-02-23,2017-03-04,-9
-1.899313891572844,-3.43,-2.86,-2.57,57.603986409983406,-2.062068000493521,-3.43,-2.86,-2.57,28.13251518254507,7200,2017-02-17,2017-04-02,-44
-1.9693955302603277,-3.75,-3,-2.63,1.5314087213985834,-1.5757473622855098,-3.75,-3,-2.63,1.1629671810323776,86400,2017-09-28,2017-11-12,-45
-1.8395139537450127,-3.58,-2.93,-2.6,5.576925577857937,-1.8643362821133658,-3.58,-2.93,-2.6,4.262917751417998,86400,2017-02-13,2017-04-01,-47
-2.2098315856530193,-3.46,-2.88,-2.57,18.068433548880563,-2.1501623732112183,-3.46,-2.88,-2.57,16.253183582587702,14400,2017-08-16,2017-09-22,-37
-2.6686832370340112,-3.43,-2.86,-2.57,64.18415618962004,-2.5651418930668575,-3.43,-2.86,-2.57,51.18267320135996,300,2017-08-17,2017-08-21,-4
-1.989493311590879,-3.58,-2.93,-2.6,5.156061004821166,-2.0092628835950705,-3.58,-2.93,-2.6,3.003289678606123,86400,2017-01-11,2017-02-16,-36
-3.1412033529334313,-3.43,-2.86,-2.57,100.3975058686795,-3.301486852033769,-3.43,-2.86,-2.57,66.1491033177308,1800,2017-03-27,2017-05-14,-48
-2.111259738230725,-3.58,-2.93,-2.6,3.483895546050296,-2.3029864097032715,-3.58,-2.93,-2.6,2.7228517524228044,14400,2017-02-27,2017-03-06,-7
-2.0790749999251754,-3.43,-2.86,-2.57,365.57721799916527,-2.162616248912024,-3.43,-2.86,-2.57,128.952425499781,1800,2017-01-14,2017-03-04,-49
-2.4655055331802886,-3.46,-2.88,-2.57,11.915773233158964,-2.568585968633019,-3.46,-2.88,-2.57,9.859147861946347,14400,2017-03-30,2017-05-01,-32
-2.119235852277666,-3.51,-2.89,-2.58,6.105036026125531,-2.2277201553343486,-3.51,-2.89,-2.58,4.885488928837906,14400,2017-04-03,2017-04-15,-12
-3.196168761776893,-3.43,-2.86,-2.57,84.73709577660405,-3.2707576247176093,-3.43,-2.86,-2.57,53.555582436794,1800,2017-03-30,2017-05-11,-42
-2.7250391172244535,-3.43,-2.86,-2.57,118.66735973518061,-2.5278021979273237,-3.43,-2.86,-2.57,82.68245132600427,900,2017-06-21,2017-07-16,-25
-2.517780285297454,-3.43,-2.86,-2.57,89.57912804873848,-2.6431078306233617,-3.43,-2.86,-2.57,58.04641070446105,1800,2017-09-12,2017-10-19,-37
-2.2566017853582894,-3.44,-2.87,-2.57,29.760140199965722,-2.386213085518511,-3.44,-2.87,-2.57,19.210030776264375,7200,2017-09-10,2017-10-23,-43
-2.9921805210395958,-3.43,-2.86,-2.57,87.115349798578407,-2.862862836075953,-3.43,-2.86,-2.57,46.16762104120221,1800,2017-03-17,2017-04-13,-27
