time_resolution,train_window,test_window,quote_currency,adf_threshold,rolling_window,stop_threshold,signal_logic,model_type,overall_return
300,23d 0H 0M 0S,51d 0H 0M 0S,USDT,-2.76,6624,3.2800000000000002,discrete,raw,1.0769109741650755
1800,57d 0H 0M 0S,7d 0H 0M 0S,USDT,-1.9500000000000002,1344,3.75,scaled,log,1.0755592142653398
1800,48d 0H 0M 0S,20d 0H 0M 0S,BTC,-1.51,288,4.17,discrete,raw,1.0717882132642296
900,52d 0H 0M 0S,27d 0H 0M 0S,USDT,-1.47,576,3.71,discrete,raw,1.0673953665402445
7200,16d 0H 0M 0S,17d 0H 0M 0S,BTC,-2.73,72,3.14,discrete,raw,1.0665383150583942
1800,53d 0H 0M 0S,24d 0H 0M 0S,USDT,-2.8,1488,3.74,discrete,raw,1.0591133760379838
7200,50d 0H 0M 0S,29d 0H 0M 0S,BTC,-3.99,600,6.53,discrete,log,1.0561030542971657
1800,16d 0H 0M 0S,40d 0H 0M 0S,USDT,-1.28,288,3.75,discrete,raw,1.0535779284502897
1800,7d 0H 0M 0S,30d 0H 0M 0S,USDT,-2.63,336,3.15,discrete,raw,1.0526767503331862
900,31d 0H 0M 0S,52d 0H 0M 0S,USDT,-2.6799999999999997,2976,4.5600000000000005,discrete,raw,1.0522323497972534
300,45d 0H 0M 0S,56d 0H 0M 0S,BTC,-1.57,6336,3.38,scaled,log,1.0491627420903524
86400,59d 0H 0M 0S,33d 0H 0M 0S,BTC,-1.49,11,6.15,discrete,raw,1.0489698126120615
900,12d 0H 0M 0S,53d 0H 0M 0S,BTC,-2.81,1152,4.51,discrete,log,1.0474279581003687
14400,35d 0H 0M 0S,57d 0H 0M 0S,BTC,-3.9,210,6.04,discrete,raw,1.046736816360517
1800,54d 0H 0M 0S,46d 0H 0M 0S,BTC,-1,1344,6.550000000000001,scaled,log,1.0453073256468433
14400,25d 0H 0M 0S,48d 0H 0M 0S,USDT,-3.83,150,4.43,discrete,raw,1.0447044723523544
